Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b,15000000,1640000000,2021-12-20 12:00:00,0xArtist123...,0x0000000000000000000000000000000000000000,0xContract1234567890abcdef1234567890abcdef,0,0,0,0.002,8.00,4000.00,,0,Contract Creation
0x2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c,15100000,1642000000,2022-01-12 10:30:00,0xCollector1...,0xArtist123...,0xContract1234567890abcdef1234567890abcdef,0,0.05,200.00,0.001,4.00,4000.00,,0,Mint
0x3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d,15150000,1643000000,2022-01-24 14:20:00,0xCollector2...,0xArtist123...,0xContract1234567890abcdef1234567890abcdef,0,0.08,320.00,0.0012,4.80,4000.00,,0,Mint
0x4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e,15200000,1644000000,2022-02-04 16:45:00,0xCollector3...,0xCollector1...,0xContract1234567890abcdef1234567890abcdef,0.15,0,600.00,0.0015,6.00,4000.00,,0,Transfer
0x5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,15250000,1645000000,2022-02-16 09:15:00,0xCollector4...,0xArtist123...,0xContract1234567890abcdef1234567890abcdef,0,0.12,480.00,0.0013,5.20,4000.00,,0,Mint
0x6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a,15300000,1646000000,2022-02-28 11:30:00,0xCollector5...,0xArtist123...,0xContract1234567890abcdef1234567890abcdef,0,0.2,800.00,0.0016,6.40,4000.00,,0,Mint
0x7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b,15400000,1648000000,2022-03-23 13:00:00,0xWhale1...,0xCollector2...,0xContract1234567890abcdef1234567890abcdef,2.5,0,10000.00,0.002,8.00,4000.00,,0,Transfer
0x8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c,15500000,1650000000,2022-04-15 15:45:00,0xCollector6...,0xArtist123...,0xContract1234567890abcdef1234567890abcdef,0,0.3,1200.00,0.0018,7.20,4000.00,,0,Mint
0x9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d,15600000,1652000000,2022-05-08 17:30:00,0xArtist123...,0x0000000000000000000000000000000000000000,0xContract2abcdef1234567890abcdef1234567890,0,0,0,0.0025,10.00,4000.00,,0,Contract Creation
0xa0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1,15700000,1654000000,2022-06-01 08:00:00,0xCollector7...,0xArtist123...,0xContract2abcdef1234567890abcdef1234567890,0,0.5,2000.00,0.002,8.00,4000.00,,0,Mint
0xb1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2,15800000,1656000000,2022-06-24 19:20:00,0xMegaWhale...,0xCollector6...,0xContract1234567890abcdef1234567890abcdef,5.0,0,20000.00,0.0022,8.80,4000.00,,0,Transfer
0xc2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3,15900000,1658000000,2022-07-17 10:10:00,0xCollector8...,0xArtist123...,0xContract2abcdef1234567890abcdef1234567890,0,0.75,3000.00,0.0019,7.60,4000.00,,0,Mint
0xd3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4,16000000,1660000000,2022-08-09 12:45:00,0xCollector9...,0xArtist123...,0xContract2abcdef1234567890abcdef1234567890,0,1.0,4000.00,0.0021,8.40,4000.00,,0,Mint
